"training_id","empleado_id","fecha_inicio","fecha_fin","mes_training","tipo_training","categoria_training","duracion_horas","modalidad","instructor","completado","calificacion_examen","rating_efectividad","costo_training","area_empleado","puesto_empleado","nivel_jerarquico_empleado"
5042,1020,"2024-08-06","2024-08-11","2024-08","Setup de Prensa - Avanzado","Gestión",40,"Online","Juana Ayala Rodriguez",True,"75.00",3,"26022.33","Estampado","Operario de Prensa",1
5041,1020,"2025-02-14","2025-02-23","2025-02","Setup de Prensa - Avanzado","Técnico",72,"Presencial","Sr(a). Lautaro Gonzalez",True,"79.00",4,"16241.01","Estampado","Operario de Prensa",1
5043,1021,"2024-05-13","2024-05-16","2024-05","Mantenimiento Preventivo","Gestión",24,"Presencial","Lautaro Alma Caceres",True,"68.00",5,"41765.16","Estampado","Alimentador de Línea",1
5044,1021,"2024-11-03","2024-11-15","2024-11","Seguridad en Prensas","Calidad",96,"Online","Dr(a). Lautaro Gomez",True,"65.00",5,"42623.04","Estampado","Alimentador de Línea",1
5045,1027,"2024-03-14","2024-03-18","2024-03","Mantenimiento Preventivo","Gestión",32,"Mixto","Juan Cruz Garcia",True,"84.00",3,"35493.18","Estampado","Operario de Prensa",1
5046,1029,"2024-10-17","2024-10-25","2024-10","Seguridad en Prensas","Seguridad",64,"Online","Benjamin Romero Gomez",True,"67.00",5,"38675.67","Estampado","Alimentador de Línea",1
5047,1030,"2025-04-21","2025-05-02","2025-05","Setup de Prensa - Básico","Técnico",88,"Presencial","Alexander Thiago Nicolas Gutierrez",True,"88.00",3,"15238.98","Estampado","Técnico Setup",1
5050,1031,"2024-04-08","2024-04-11","2024-04","Seguridad en Prensas","Gestión",24,"Online","Santiago Milagros Ruiz",True,"88.00",5,"24162.63","Estampado","Alimentador de Línea",1
5048,1031,"2024-07-12","2024-07-23","2024-07","Mantenimiento Preventivo","Seguridad",88,"Presencial","Sr(a). Ignacio Flores",True,"69.00",3,"17196.99","Estampado","Alimentador de Línea",1
5049,1031,"2024-09-06","2024-09-11","2024-09","Mantenimiento Preventivo","Calidad",40,"Presencial","Francisco Ruiz",True,"76.00",4,"43309.08","Estampado","Alimentador de Línea",1
5051,1033,"2024-04-13","2024-04-17","2024-04","Mantenimiento Preventivo","Calidad",32,"Presencial","Sr(a). Tomàs Flores",True,"67.00",2,"28492.11","Estampado","Técnico Setup",1
5052,1033,"2024-07-21","2024-08-01","2024-08","Setup de Prensa - Avanzado","Técnico",88,"Presencial","Federico Diaz Cardozo",True,"87.00",5,"18406.29","Estampado","Técnico Setup",1
5053,1034,"2024-04-14","2024-04-27","2024-04","Mantenimiento Preventivo","Calidad",104,"Mixto","Dante Figueroa Rojas",True,"67.00",2,"25034.61","Estampado","Técnico Setup",1
5056,1036,"2024-01-07","2024-01-18","2024-01","Setup de Prensa - Avanzado","Gestión",88,"Online","Sr(a). Lautaro Farias",True,"86.00",4,"44763.18","Estampado","Operario de Prensa",1
5054,1036,"2025-01-05","2025-01-10","2025-01","Seguridad en Prensas","Gestión",40,"Mixto","Juan Cruz Facundo Perez Guzman",True,"95.00",4,"37277.55","Estampado","Operario de Prensa",1
5055,1036,"2025-02-14","2025-02-23","2025-02","Seguridad en Prensas","Gestión",72,"Mixto","Dr(a). Matias Cabrera",True,"87.00",4,"30529.11","Estampado","Operario de Prensa",1
5057,1037,"2024-09-12","2024-09-22","2024-09","Mantenimiento Preventivo","Seguridad",80,"Online","Sr(a). Zoe Valentina Vega",True,"88.00",3,"10470.12","Estampado","Operario de Prensa",1
5058,1039,"2024-12-18","2024-12-24","2024-12","Seguridad en Prensas","Seguridad",48,"Mixto","Bastian Salvador Carrizo Sanchez",True,"93.00",2,"17443.14","Estampado","Operario de Prensa",1
5059,1040,"2024-01-11","2024-01-20","2024-01","Seguridad en Prensas","Seguridad",72,"Online","Julieta Joaquin Ledesma",True,"91.00",2,"44299.32","Estampado","Operario de Prensa",1
5061,1043,"2024-06-08","2024-06-11","2024-06","Mantenimiento Preventivo","Gestión",24,"Mixto","Pedro Suarez",True,"61.00",2,"13686.18","Estampado","Operario de Prensa",1
5060,1043,"2025-02-20","2025-03-03","2025-03","Setup de Prensa - Avanzado","Técnico",88,"Presencial","Dr(a). Ciro Fernandez",True,"63.00",3,"10386.27","Estampado","Operario de Prensa",1
5062,1044,"2024-06-07","2024-06-13","2024-06","Seguridad en Prensas","Técnico",48,"Mixto","Sr(a). Lautaro Benjamin Aguirre",True,"83.00",4,"9352.92","Estampado","Operario de Prensa",1
5063,1047,"2024-01-14","2024-01-20","2024-01","Setup de Prensa - Básico","Calidad",48,"Online","Santiago Maite Rios",True,"94.00",2,"24548.07","Estampado","Técnico Setup",1
5064,1048,"2024-08-15","2024-08-20","2024-08","Setup de Prensa - Básico","Gestión",40,"Online","Oriana Pilar Diaz Alvarez",True,"82.00",2,"13764.00","Estampado","Operario de Prensa",1
5065,1048,"2024-12-12","2024-12-19","2024-12","Mantenimiento Preventivo","Seguridad",56,"Online","Dr(a). Renata Aguirre",True,"70.00",2,"37295.40","Estampado","Operario de Prensa",1
5066,1049,"2025-05-16","2025-05-26","2025-05","Mantenimiento Preventivo","Técnico",80,"Presencial","Pilar Rodriguez",True,"93.00",4,"18759.18","Estampado","Operario de Prensa",1
5067,1050,"2024-06-12","2024-06-25","2024-06","Mantenimiento Preventivo","Gestión",104,"Presencial","Violeta Diaz Gonzalez",True,"92.00",2,"15702.78","Estampado","Alimentador de Línea",1
5068,1056,"2024-12-06","2024-12-09","2024-12","Setup de Prensa - Avanzado","Gestión",24,"Online","Mateo Benjamin Mateo Medina",True,"100.00",2,"31678.53","Estampado","Técnico Setup",1
5069,1058,"2024-07-14","2024-07-23","2024-07","Setup de Prensa - Básico","Seguridad",72,"Presencial","Nicolas Gomez",True,"98.00",5,"24674.40","Estampado","Operario de Prensa",1
5071,1059,"2024-08-20","2024-08-26","2024-08","Seguridad en Prensas","Calidad",48,"Mixto","Sr(a). Alejo Benitez",True,"64.00",5,"12075.18","Estampado","Alimentador de Línea",1
5070,1059,"2024-08-14","2024-08-27","2024-08","Mantenimiento Preventivo","Técnico",104,"Presencial","Thiago Benjamin Molina Olivera",True,"97.00",3,"35619.78","Estampado","Alimentador de Línea",1
5072,1060,"2025-05-16","2025-05-28","2025-05","Setup de Prensa - Avanzado","Gestión",96,"Mixto","Juan Sebastian Santino Rivero",True,"80.00",4,"42074.61","Estampado","Operario de Prensa",1
5073,1061,"2024-03-21","2024-03-28","2024-03","Seguridad en Prensas","Técnico",56,"Mixto","Juana Angel Gabriel Acosta",True,"99.00",2,"24619.11","Estampado","Operario de Prensa",1
5074,1062,"2024-08-02","2024-08-14","2024-08","Setup de Prensa - Básico","Gestión",96,"Presencial","Morena Jazmin Catalina Guzman Gomez",True,"96.00",3,"13440.00","Estampado","Alimentador de Línea",1
5075,1065,"2024-10-07","2024-10-18","2024-10","Setup de Prensa - Básico","Calidad",88,"Mixto","Sofia Tiziano Benjamin Ledesma",True,"71.00",5,"18279.09","Estampado","Alimentador de Línea",1
5076,1066,"2025-04-05","2025-04-14","2025-04","Seguridad en Prensas","Calidad",72,"Online","Dr(a). Mateo Fernandez",True,"81.00",3,"31878.60","Estampado","Técnico Setup",1
5077,1067,"2024-03-13","2024-03-22","2024-03","Mantenimiento Preventivo","Calidad",72,"Mixto","Zoe Valentina Luciana Ortiz",True,"100.00",5,"33876.66","Estampado","Operario de Prensa",1
5078,1068,"2025-02-21","2025-03-07","2025-03","Setup de Prensa - Básico","Gestión",112,"Presencial","Dr(a). Matias Lopez",True,"94.00",2,"14010.18","Estampado","Operario de Prensa",1
5079,1069,"2024-01-06","2024-01-20","2024-01","Setup de Prensa - Avanzado","Seguridad",112,"Online","Emilia Thiago Benjamin Mendez Velazquez",True,"97.00",5,"11409.45","Estampado","Alimentador de Línea",1
5081,1070,"2024-03-20","2024-04-03","2024-04","Mantenimiento Preventivo","Gestión",112,"Mixto","Samuel Aguero Fernandez",True,"88.00",2,"32451.15","Estampado","Operario de Prensa",1
5080,1070,"2025-03-13","2025-03-25","2025-03","Mantenimiento Preventivo","Calidad",96,"Presencial","Valentino Cardozo Ramirez",False,"61.00",2,"15572.31","Estampado","Operario de Prensa",1
5082,1070,"2025-05-15","2025-05-28","2025-05","Setup de Prensa - Básico","Técnico",104,"Online","Valentina Luz Milagros Rivero",True,"64.00",3,"20174.49","Estampado","Operario de Prensa",1
5083,1071,"2024-11-04","2024-11-09","2024-11","Seguridad en Prensas","Técnico",40,"Online","Morena Silva",True,"68.00",2,"15300.81","Estampado","Operario de Prensa",1
5085,1076,"2025-04-04","2025-04-16","2025-04","Seguridad en Prensas","Técnico",96,"Mixto","Lola Cardozo Ledesma",True,"84.00",3,"41694.27","Estampado","Alimentador de Línea",1
5084,1076,"2025-04-11","2025-04-21","2025-04","Seguridad en Prensas","Gestión",80,"Mixto","Lucía Thiago Rodriguez Arias",True,"82.00",2,"16576.59","Estampado","Alimentador de Línea",1
5086,1076,"2025-05-03","2025-05-06","2025-05","Setup de Prensa - Avanzado","Gestión",24,"Presencial","Facundo Pilar Nuñez Aguero",True,"88.00",2,"18598.26","Estampado","Alimentador de Línea",1
5087,1077,"2024-05-21","2024-05-24","2024-05","Seguridad en Prensas","Calidad",24,"Presencial","Sebastian Medina Dominguez",True,"72.00",5,"31796.31","Estampado","Alimentador de Línea",1
5088,1079,"2024-06-04","2024-06-19","2024-06","Setup de Prensa - Avanzado","Calidad",120,"Mixto","Juan Francisco Violeta Ruiz Martin",True,"61.00",5,"27436.86","Estampado","Operario de Prensa",1
5089,1079,"2025-04-07","2025-04-19","2025-04","Seguridad en Prensas","Seguridad",96,"Presencial","Morena Juan Cruz Garcia",False,"75.00",4,"14893.86","Estampado","Operario de Prensa",1
5090,1080,"2024-03-04","2024-03-11","2024-03","Setup de Prensa - Avanzado","Seguridad",56,"Presencial","Sr(a). Tiziano Suarez",True,"79.00",5,"38437.38","Estampado","Alimentador de Línea",1
5091,1080,"2025-02-02","2025-02-09","2025-02","Setup de Prensa - Avanzado","Técnico",56,"Mixto","Luciano Benjamin Paulina Gonzalez Morales",False,"61.00",5,"32797.56","Estampado","Alimentador de Línea",1
5092,1081,"2024-10-11","2024-10-17","2024-10","Setup de Prensa - Avanzado","Calidad",48,"Online","Benjamin Soria",True,"64.00",3,"39020.91","Estampado","Alimentador de Línea",1
5093,1082,"2025-05-16","2025-05-30","2025-05","Seguridad en Prensas","Seguridad",112,"Presencial","Simon Benjamin Campos",True,"78.00",2,"18459.39","Estampado","Alimentador de Línea",1
5094,1084,"2024-05-16","2024-05-22","2024-05","Setup de Prensa - Básico","Técnico",48,"Mixto","Jeronimo Nahuel Cruz",True,"66.00",5,"11190.00","Estampado","Técnico Setup",1
5095,1084,"2025-01-21","2025-02-04","2025-02","Setup de Prensa - Avanzado","Seguridad",112,"Mixto","Mateo Paula Perez Ferreyra",True,"77.00",2,"11866.53","Estampado","Técnico Setup",1
5096,1085,"2024-01-04","2024-01-19","2024-01","Mantenimiento Preventivo","Técnico",120,"Online","Catalina Vicente Moreno Rodriguez",True,"70.00",2,"38344.35","Estampado","Operario de Prensa",1
5097,1085,"2025-02-13","2025-02-26","2025-02","Setup de Prensa - Básico","Gestión",104,"Online","Ian Benjamin Zoe Flores Gomez",True,"92.00",2,"24510.60","Estampado","Operario de Prensa",1
5098,1087,"2024-10-15","2024-10-23","2024-10","Seguridad en Prensas","Seguridad",64,"Online","Benjamin Herrera Fernandez",False,"61.00",2,"37729.62","Estampado","Operario de Prensa",1
5099,1088,"2024-03-15","2024-03-19","2024-03","Mantenimiento Preventivo","Seguridad",32,"Online","Maximo Tomàs Gonzalez",True,"74.00",4,"18326.79","Estampado","Alimentador de Línea",1
5100,1088,"2024-06-04","2024-06-18","2024-06","Mantenimiento Preventivo","Técnico",112,"Presencial","Augusto Constantino Flores Fernandez",True,"97.00",2,"40814.04","Estampado","Alimentador de Línea",1
5101,1091,"2024-11-20","2024-11-25","2024-11","Setup de Prensa - Avanzado","Técnico",40,"Presencial","Francisco Gomez Cordoba",True,"77.00",3,"14643.87","Estampado","Operario de Prensa",1
5102,1092,"2025-05-21","2025-05-31","2025-05","Mantenimiento Preventivo","Técnico",80,"Online","Josefina Lucero Fernandez",True,"67.00",2,"28277.58","Estampado","Técnico Setup",1
5103,1093,"2024-03-02","2024-03-14","2024-03","Setup de Prensa - Avanzado","Técnico",96,"Online","Santino Benjamin Agostina Rodriguez",True,"95.00",5,"23459.46","Estampado","Operario de Prensa",1
5104,1093,"2024-11-17","2024-11-21","2024-11","Seguridad en Prensas","Calidad",32,"Online","Sr(a). Tomas Lopez",True,"62.00",3,"18552.09","Estampado","Operario de Prensa",1
5105,1094,"2024-10-04","2024-10-14","2024-10","Mantenimiento Preventivo","Gestión",80,"Mixto","Joaquín Lucía Fernandez Ramirez",True,"74.00",5,"14350.83","Estampado","Técnico Setup",1
5106,1095,"2024-01-14","2024-01-20","2024-01","Seguridad en Prensas","Seguridad",48,"Presencial","Candela Rodriguez",True,"67.00",4,"11674.44","Estampado","Alimentador de Línea",1
5107,1097,"2024-03-07","2024-03-19","2024-03","Setup de Prensa - Avanzado","Calidad",96,"Mixto","Valentino Gomez Ojeda",False,"87.00",2,"16848.30","Estampado","Alimentador de Línea",1
5108,1098,"2024-10-18","2024-10-21","2024-10","Mantenimiento Preventivo","Gestión",24,"Mixto","Luisina Josefina Fernandez Garcia",True,"97.00",2,"14979.00","Estampado","Técnico Setup",1
5109,1101,"2024-07-18","2024-07-28","2024-07","Seguridad en Prensas","Gestión",80,"Presencial","Valentina Juarez Muñoz",True,"79.00",4,"17995.17","Estampado","Técnico Setup",1
5110,1104,"2025-01-14","2025-01-19","2025-01","Setup de Prensa - Avanzado","Técnico",40,"Presencial","Fausto Helena Farias Dominguez",True,"88.00",3,"23074.26","Estampado","Alimentador de Línea",1
5111,1106,"2024-11-17","2024-12-02","2024-12","Setup de Prensa - Básico","Técnico",120,"Online","Sofia Sofía Lopez Ruiz",True,"94.00",2,"42858.84","Estampado","Alimentador de Línea",1
5112,1106,"2025-02-17","2025-02-28","2025-02","Setup de Prensa - Avanzado","Seguridad",88,"Online","Martín Arias Martinez",True,"86.00",2,"19463.88","Estampado","Alimentador de Línea",1
5113,1109,"2024-11-13","2024-11-23","2024-11","Seguridad en Prensas","Seguridad",80,"Presencial","Santino Gimenez",True,"62.00",3,"44692.05","Estampado","Operario de Prensa",1
5114,1112,"2024-05-17","2024-05-25","2024-05","Mantenimiento Preventivo","Técnico",64,"Online","Sr(a). Bruno Bravo",True,"64.00",3,"44973.93","Estampado","Técnico Setup",1
5116,1113,"2024-10-19","2024-11-01","2024-11","Mantenimiento Preventivo","Gestión",104,"Mixto","Manuel Joaquin Herrera Olivera",True,"78.00",3,"25006.20","Estampado","Operario de Prensa",1
5115,1113,"2024-12-13","2024-12-19","2024-12","Mantenimiento Preventivo","Calidad",48,"Online","Lucas Benjamin Valentino Guzman Ortiz",True,"60.00",2,"33008.73","Estampado","Operario de Prensa",1
5117,1114,"2024-05-18","2024-05-24","2024-05","Setup de Prensa - Avanzado","Calidad",48,"Presencial","Benjamin Rodriguez Perez",True,"68.00",3,"10164.63","Estampado","Técnico Setup",1
5118,1115,"2024-03-06","2024-03-11","2024-03","Seguridad en Prensas","Seguridad",40,"Mixto","Thiago Gabriel Duarte Ruiz",True,"80.00",2,"12854.01","Estampado","Alimentador de Línea",1
5119,1116,"2024-07-20","2024-07-27","2024-07","Setup de Prensa - Básico","Calidad",56,"Mixto","Lucía Juan Bautista Ramirez Quiroga",True,"97.00",2,"11222.13","Estampado","Técnico Setup",1
5120,1116,"2024-09-03","2024-09-07","2024-09","Mantenimiento Preventivo","Gestión",32,"Mixto","Santino Benjamin Rojas Fernandez",True,"100.00",2,"29422.71","Estampado","Técnico Setup",1
5121,1118,"2024-11-05","2024-11-09","2024-11","Setup de Prensa - Básico","Gestión",32,"Mixto","Josefina Gutierrez Diaz",True,"88.00",2,"33587.52","Estampado","Alimentador de Línea",1
5122,1119,"2024-03-04","2024-03-19","2024-03","Mantenimiento Preventivo","Seguridad",120,"Online","Mateo Benjamin Francesca Godoy",True,"95.00",5,"25677.90","Estampado","Alimentador de Línea",1
5123,1120,"2024-08-14","2024-08-24","2024-08","Setup de Prensa - Avanzado","Técnico",80,"Mixto","Josefina Benitez Moyano",True,"69.00",2,"42654.00","Estampado","Operario de Prensa",1
5124,1120,"2025-03-19","2025-03-24","2025-03","Setup de Prensa - Básico","Seguridad",40,"Online","Isabella Catalina Benitez",True,"61.00",2,"23557.53","Estampado","Operario de Prensa",1
5125,1120,"2025-04-10","2025-04-19","2025-04","Seguridad en Prensas","Seguridad",72,"Mixto","Tomas Rodriguez",True,"75.00",4,"22167.00","Estampado","Operario de Prensa",1
5126,1121,"2024-11-18","2024-12-02","2024-12","Mantenimiento Preventivo","Seguridad",112,"Presencial","Juan Ignacio Lucia Quiroga",True,"73.00",4,"19379.91","Estampado","Operario de Prensa",1
5127,1122,"2024-12-17","2024-12-24","2024-12","Seguridad en Prensas","Gestión",56,"Online","Guillermina Lautaro Gutierrez",True,"74.00",2,"16398.24","Estampado","Técnico Setup",1
5128,1124,"2024-12-04","2024-12-10","2024-12","Mantenimiento Preventivo","Seguridad",48,"Presencial","Mateo Juan Ignacio Vargas Perez",True,"69.00",2,"34505.04","Estampado","Operario de Prensa",1
5129,1124,"2025-01-02","2025-01-13","2025-01","Seguridad en Prensas","Gestión",88,"Mixto","Thiago Nahuel Gonzalez Cordoba",False,"88.00",4,"10207.62","Estampado","Operario de Prensa",1
5131,1125,"2025-03-21","2025-03-24","2025-03","Seguridad en Prensas","Técnico",24,"Online","Facundo Sosa",False,"70.00",5,"25259.88","Estampado","Técnico Setup",1
5130,1125,"2025-04-03","2025-04-18","2025-04","Setup de Prensa - Básico","Gestión",120,"Mixto","Bruno Thiago Benjamin Bravo Morales",True,"90.00",2,"37126.38","Estampado","Técnico Setup",1
5132,1126,"2024-05-17","2024-05-25","2024-05","Setup de Prensa - Básico","Gestión",64,"Mixto","Alma Mia Lopez",True,"73.00",5,"11981.49","Estampado","Técnico Setup",1
5133,1129,"2024-01-14","2024-01-20","2024-01","Setup de Prensa - Avanzado","Seguridad",48,"Presencial","Valentina Santino Silva",True,"92.00",2,"32119.02","Estampado","Team Leader Estampado",2
5134,1134,"2024-03-05","2024-03-20","2024-03","Setup de Prensa - Básico","Seguridad",120,"Presencial","Francisco Gimenez Gonzalez",True,"86.00",5,"12242.07","Estampado","Especialista Setup",2
5135,1134,"2024-12-16","2024-12-20","2024-12","Mantenimiento Preventivo","Gestión",32,"Mixto","Emma Herrera Alvarez",True,"64.00",5,"15234.09","Estampado","Especialista Setup",2
5136,1135,"2024-08-04","2024-08-13","2024-08","Setup de Prensa - Avanzado","Gestión",72,"Mixto","Joaquin Thiago Daniel Gonzalez",True,"97.00",5,"10477.65","Estampado","Especialista Setup",2
5138,1136,"2024-01-21","2024-01-30","2024-01","Setup de Prensa - Avanzado","Gestión",72,"Presencial","Victoria Bautista Torres Gimenez",True,"87.00",5,"16320.51","Estampado","Especialista Setup",2
5137,1136,"2024-03-06","2024-03-16","2024-03","Setup de Prensa - Básico","Seguridad",80,"Presencial","Francisco Martinez",True,"67.00",5,"41025.75","Estampado","Especialista Setup",2
5139,1136,"2024-08-20","2024-09-01","2024-09","Setup de Prensa - Avanzado","Calidad",96,"Presencial","Joaquin Cordoba Chavez",True,"93.00",5,"35458.08","Estampado","Especialista Setup",2
5140,1138,"2024-10-11","2024-10-22","2024-10","Seguridad en Prensas","Técnico",88,"Presencial","Bautista Medina",True,"66.00",3,"35509.56","Estampado","Team Leader Estampado",2
5141,1139,"2024-07-17","2024-07-20","2024-07","Setup de Prensa - Básico","Calidad",24,"Online","Thiago Nahuel Josefina Rodriguez Medina",True,"92.00",5,"26425.44","Estampado","Team Leader Estampado",2
5142,1141,"2024-04-17","2024-04-28","2024-04","Setup de Prensa - Básico","Seguridad",88,"Mixto","Sofia Lucas Sanchez Rios",True,"92.00",3,"16736.22","Estampado","Team Leader Estampado",2
5143,1144,"2025-03-20","2025-03-26","2025-03","Mantenimiento Preventivo","Gestión",48,"Online","Guadalupe Valdez",True,"80.00",2,"11904.78","Estampado","Team Leader Estampado",2
5144,1147,"2024-03-06","2024-03-17","2024-03","Setup de Prensa - Avanzado","Gestión",88,"Online","Maria Paz Manuel Arias",True,"82.00",3,"30848.46","Estampado","Team Leader Estampado",2
5146,1147,"2024-09-07","2024-09-16","2024-09","Mantenimiento Preventivo","Gestión",72,"Online","Juan Manuel Juliana Gonzalez Romero",True,"65.00",4,"42279.03","Estampado","Team Leader Estampado",2
5145,1147,"2025-05-08","2025-05-18","2025-05","Mantenimiento Preventivo","Gestión",80,"Presencial","Benjamin Renata Martinez",False,"70.00",5,"36155.94","Estampado","Team Leader Estampado",2
5147,1149,"2024-08-09","2024-08-16","2024-08","Setup de Prensa - Básico","Gestión",56,"Presencial","Juan Francisco Ojeda",True,"85.00",3,"36625.80","Estampado","Team Leader Estampado",2
5148,1150,"2025-03-18","2025-04-01","2025-04","Seguridad en Prensas","Gestión",112,"Presencial","Sofia Velazquez Flores",True,"84.00",4,"44627.73","Estampado","Team Leader Estampado",2
5149,1151,"2024-01-14","2024-01-23","2024-01","Mantenimiento Preventivo","Técnico",72,"Mixto","Renzo Fernandez Garcia",True,"91.00",3,"31152.09","Estampado","Supervisor de Estampado",3
5150,1152,"2024-11-15","2024-11-18","2024-11","Setup de Prensa - Básico","Técnico",24,"Mixto","Mateo Valentin Escobar Gutierrez",True,"93.00",2,"23481.09","Estampado","Supervisor de Estampado",3
5152,1153,"2024-07-17","2024-07-25","2024-07","Setup de Prensa - Básico","Calidad",64,"Mixto","Bautista Ortiz",True,"78.00",3,"14545.11","Estampado","Supervisor de Estampado",3
5151,1153,"2024-10-20","2024-11-03","2024-11","Seguridad en Prensas","Técnico",112,"Presencial","Malena Lautaro Ezequiel Nuñez Gimenez",True,"73.00",3,"24478.83","Estampado","Supervisor de Estampado",3
5153,1154,"2024-05-17","2024-05-28","2024-05","Seguridad en Prensas","Gestión",88,"Mixto","Antonella Fernandez",False,"78.00",2,"22519.32","Estampado","Supervisor de Estampado",3
5154,1155,"2025-02-12","2025-02-24","2025-02","Seguridad en Prensas","Calidad",96,"Mixto","Thiago Benjamin Josefina Figueroa Quiroga",True,"63.00",3,"16691.37","Estampado","Supervisor de Estampado",3
5155,1156,"2024-03-03","2024-03-17","2024-03","Seguridad en Prensas","Gestión",112,"Online","Juan Cruz Victoria Rodriguez Diaz",True,"61.00",5,"25206.54","Estampado","Supervisor de Estampado",3
5156,1156,"2024-09-05","2024-09-13","2024-09","Mantenimiento Preventivo","Gestión",64,"Mixto","Sr(a). Felipe Lopez",True,"68.00",4,"35116.20","Estampado","Supervisor de Estampado",3
5157,1157,"2024-08-05","2024-08-13","2024-08","Seguridad en Prensas","Técnico",64,"Online","Josefina Gomez",True,"86.00",4,"20022.24","Estampado","Gerente de Estampado",4
5158,1158,"2024-05-05","2024-05-12","2024-05","Setup de Prensa - Básico","Gestión",56,"Online","Ciro Benjamin Sofia Sanchez Perez",True,"77.00",2,"39872.31","Estampado","Gerente de Estampado",4
5159,1160,"2024-10-04","2024-10-16","2024-10","Soldadura MIG/MAG - Básico","Gestión",96,"Presencial","Catalina Cordoba Sanchez",True,"71.00",3,"14464.26","Ensamble","Operario de Línea",1
5161,1161,"2024-03-11","2024-03-22","2024-03","Soldadura MIG/MAG - Básico","Gestión",88,"Online","Catalina Valentina Sosa",False,"95.00",5,"12720.36","Ensamble","Operario de Línea",1
5160,1161,"2025-01-14","2025-01-19","2025-01","Ensamble de Componentes","Seguridad",40,"Online","Sr(a). Delfina Mendez",True,"66.00",5,"37357.44","Ensamble","Operario de Línea",1
5162,1164,"2024-11-17","2024-11-24","2024-11","Soldadura MIG/MAG - Básico","Seguridad",56,"Presencial","Sr(a). Agostina Perez",True,"90.00",5,"26484.45","Ensamble","Operario de Línea",1
5163,1165,"2025-03-04","2025-03-15","2025-03","Control de Calidad en Línea","Calidad",88,"Mixto","Martina Lola Acosta",True,"98.00",2,"18142.23","Ensamble","Soldador",1
5015,1166,"2024-10-18","2024-11-10","2024-11","Advanced Welding Certification (AWS)","Técnico",134,"Presencial","Instructor Externo AWS",True,"75.00",4,"92660.31","Ensamble","Soldador",1
